Movie Name,Rating,Runtime,Metascore,Votes,Gross,imdb_id,Hit,popularity,vote_average,release_year,budget_adj,revenue_adj,is_major_company,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Thriller,Genre_War,Genre_Western
Fargo,8.1,98,86.0,693821,24611975,tt0116282,1,2.775756,7.6,1996,9731517.173,84263782.23,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Trainspotting,8.1,93,83.0,702049,16501785,tt0117951,1,2.94792,7.6,1996,5560866.956,22926175.46,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
12 Years a Slave,8.1,134,96.0,716881,56671993,tt2024544,1,3.625529,7.9,2013,18720667.05,165524556.362,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
How to Train Your Dragon,8.1,98,75.0,763176,132142175,tt0892769,1,3.560424,7.4,2010,78760466.20075,165524556.362,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Monsters, Inc.",8.1,92,79.0,934294,132142175,tt0198781,1,3.204295,7.3,2001,78760466.20075,165524556.362,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Spotlight,8.1,129,93.0,483121,45055776,tt1895587,1,4.062293,7.8,2015,18399991.9,81278719.4,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Platoon,8.1,120,92.0,423922,132142175,tt0091763,1,1.522478,7.3,1986,11936438.47,165524556.362,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Room,8.1,118,86.0,432546,14677674,tt3170832,1,3.557846,8.0,2015,5519997.571,32569603.03,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Rush,8.1,123,74.0,492039,26947624,tt1979320,1,2.119986,7.7,2013,35569267.4,84474786.07,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Deer Hunter,8.1,183,86.0,347221,48979328,tt0077416,1,0.959754,7.4,1978,50140510.42,165524556.362,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Before Sunrise,8.1,101,77.0,321220,5535405,tt0112471,1,1.706784,7.6,1995,3577417.168,7920981.151,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Warrior,8.1,140,71.0,482451,13657115,tt1291584,1,1.246852,7.6,2011,24234951.06,22351522.15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gran Torino,8.1,116,72.0,790668,132142175,tt1205489,1,2.245306,7.6,2008,33421958.92,165524556.362,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Raging Bull,8.1,129,90.0,363818,23383987,tt0081398,1,1.328578,7.4,1980,47628661.55,60858845.32,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Million Dollar Baby,8.1,132,86.0,700868,100492203,tt0405159,1,1.648554,7.6,2004,34633361.99,165524556.362,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
The Iron Giant,8.1,86,85.0,210086,23159305,tt0129167,1,1.150934,7.5,1999,78760466.20075,30316754.14,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Barry Lyndon,8.1,185,89.0,174140,174140,tt0072684,1,1.019569,7.2,1975,44570032.89,81036423.44,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cool Hand Luke,8.1,127,92.0,182052,16217773,tt0061512,1,0.678719,7.2,1967,19610291.22,106011750.5,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Hachi: A Dog's Tale,8.1,93,64.76015473887814,295659,295659,tt1028532,1,1.575231,7.7,2009,16262406.95,48585352.53,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Network,8.1,121,83.0,163774,163774,tt0074958,1,0.476406,7.4,1976,14560452.51,90772455.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
