Movie Name,Rating,Runtime,Genre,Metascore,Votes,Gross,imdb_id,Hit,popularity,vote_average,release_year,budget_adj,revenue_adj,is_major_company
Daredevil,5.3,103,Action,42.0,224318,102543520,tt0287978,0,2.394195,4.9,2003,78760466.20075,165524556.362,1
Point Break,5.3,114,Action,34.0,64665,28782481,tt2058673,0,2.614499,5.5,2015,78760466.20075,123021160.0,0
Masters of the Universe,5.3,106,Action,35.0,42505,17336370,tt0093507,0,0.436718,5.0,1987,32624367.45,23772380.08,0
Ghost Rider,5.3,110,Action,35.0,245444,115802596,tt0259324,0,2.148427,5.2,2007,78760466.20075,165524556.362,1
3 Ninjas,5.3,84,Action,36.0,22446,29000301,tt0103596,0,0.233105,5.5,1992,33377970.81,57397421.75,1
Tank Girl,5.3,104,Action,46.0,33268,4064333,tt0114614,0,0.80759,5.5,1995,35774171.68,9444381.323,0
Little Nicky,5.3,90,Comedy,38.0,109054,39464775,tt0185431,0,0.561897,5.2,2000,78760466.20075,65136911.45,1
Annie,5.3,118,Comedy,33.0,39286,85911262,tt1823664,0,1.58801,6.1,2014,59870918.3,123262077.1,1
Popeye,5.3,114,Adventure,64.0,33116,49823057,tt0081353,0,0.202265,5.4,1980,52920735.06,98965884.825,1
Rocky V,5.3,104,Drama,55.0,144893,40946358,tt0100507,0,1.243528,5.3,1990,70093738.69,165524556.362,0
Madea's Family Reunion,5.3,107,Comedy,45.0,11691,63318000,tt0455612,0,0.552267,6.0,2006,6490014.95,61905574.39,0
Sinister 2,5.3,97,Horror,32.0,57721,27736779,tt2752772,0,1.742286,5.5,2015,9199995.952,48651435.15,0
Max Payne,5.3,100,Action,31.0,128224,40689393,tt0467197,0,1.172718,5.3,2008,35447532.18,86509099.69,0
The Final,5.3,93,Drama,65.23290203327171,11510,11510,tt1390535,0,0.212376,6.2,2010,19392071.575000003,31555208.205,0
Blank Check,5.3,93,Comedy,42.0,21316,30577969,tt0109287,0,0.396531,5.3,1994,19124450.3,156808805.1,1
Sleepover,5.3,89,Comedy,33.0,17314,9436390,tt0368975,0,0.558402,5.4,2004,3451350.606,1100009.1155,0
Southland Tales,5.3,145,Comedy,44.0,39718,275380,tt0405336,0,0.631574,4.9,2006,18388375.69,405347.9454,1
Spy Kids 2: Island of Lost Dreams,5.3,100,Action,66.0,70472,85846429,tt0287717,0,0.683151,5.2,2002,46065932.96,145136004.8,0
Resident Evil: Retribution,5.3,95,Action,39.0,146294,42345531,tt1855325,0,0.260624,5.6,2012,61733378.29,165524556.362,0
The Wedding Planner,5.3,103,Comedy,33.0,83656,60400856,tt0209475,0,0.798104,5.4,2001,43102084.08,116657057.8,1
"I Love You, Beth Cooper",5.3,102,Comedy,32.0,36561,14793904,tt1032815,0,0.767264,4.9,2009,18295207.81,165524556.362,0
The Karate Kid Part III,5.3,112,Action,36.0,66436,38956288,tt0097647,0,0.833524,5.5,1989,39577161.13,68523523.87,1
Random Hearts,5.3,133,Drama,38.0,22147,31054924,tt0156934,0,0.503461,5.3,1999,78760466.20075,97666560.94,1
Maid in Manhattan,5.3,105,Comedy,45.0,93094,94011225,tt0252076,0,1.809883,5.7,2002,66674376.65,165524556.362,1
Congo,5.3,109,Action,22.0,47230,81022101,tt0112715,0,0.327558,4.8,1995,71548343.36,165524556.362,1
Red Dawn,5.3,93,Action,31.0,78822,44806783,tt1234719,0,0.79959,5.3,2012,61733378.29,42554985.92,0
Sleepwalkers,5.3,91,Fantasy,38.0,23546,30524763,tt0105428,0,0.250137,4.9,1992,48904571.56,47436222.07,1
The Dilemma,5.3,111,Comedy,46.0,55955,48475290,tt1578275,0,0.747362,5.2,2011,67857862.98,65058885.11,1
The Stepford Wives,5.3,93,Comedy,42.0,68038,59484742,tt0327162,0,0.8676,5.4,2004,78760466.20075,117753430.8,1
Flubber,5.3,93,Comedy,37.0,92123,92977226,tt0119137,0,0.96047,5.1,1997,78760466.20075,165524556.362,1
Bachelorette,5.3,87,Comedy,53.0,48003,447954,tt1920849,0,0.604625,5.3,2012,2849232.844,11347500.99,0
Balls of Fury,5.3,90,Comedy,38.0,43628,32844290,tt0424823,0,0.188155,5.0,2007,13853344.8,43221543.77,0
Jade,5.3,95,Crime,33.0,13405,9795017,tt0113451,0,0.407454,5.4,1995,71548343.36,14097327.5,1
Swamp Thing,5.3,91,Horror,50.0,15246,15246,tt0084745,0,0.562977,5.2,1982,6778927.208,31555208.205,0
Land of the Lost,5.3,102,Action,32.0,73307,49438370,tt0457400,0,0.760048,5.4,2009,78760466.20075,69815357.65,1
Honey,5.3,94,Drama,37.0,46575,30308417,tt0322589,0,1.635524,6.0,2003,21336347.61,74258506.21,1
Like Mike,5.3,99,Comedy,47.0,21738,51432423,tt0308506,0,0.27088,5.6,2002,36367841.81,49035503.48,1
Wolves,5.3,91,Action,37.0,10049,10049,tt1403241,0,0.480194,5.3,2014,16579638.91,31555208.205,0
D.E.B.S.,5.3,91,Action,42.0,16745,96793,tt0367631,0,0.078715,5.0,2004,4040558.899,1100009.1155,0
View from the Top,5.3,87,Comedy,27.0,27899,15589458,tt0264150,0,0.716775,5.3,2003,20127866.34,18508096.2,1
One for the Money,5.3,91,Action,22.0,43354,26414527,tt1598828,0,0.672243,5.2,2012,37989771.25,35039600.54,0
Xanadu,5.3,96,Fantasy,31.0,14710,22762571,tt0081777,0,0.130304,5.3,1980,52920735.06,59460666.27,1
By the Sea,5.3,122,Drama,44.0,21984,531009,tt3707106,0,0.524315,5.4,2015,9199995.952,3068131.49,0
Prom Night,5.3,92,Horror,45.0,19510,14796236,tt0081383,0,0.192608,6.4,1980,2646036.753,39151384.26,0
Trespass,5.3,91,Crime,37.0,44384,16816,tt1674784,0,0.780318,5.3,2011,34898329.53,9318308.633,0
Blood Creek,5.3,90,Horror,51.18020304568528,12608,12608,tt0450336,0,0.159615,5.4,2009,10127866.34,31555208.205,0
The Smurfs 2,5.3,105,Animation,34.0,44073,71017784,tt2017020,0,0.782462,5.5,2013,78760466.20075,165524556.362,1
Loser,5.3,98,Comedy,35.0,29711,15618626,tt0217630,0,0.361563,5.2,2000,48904571.56,103472187.85,1
Passion,5.3,102,Adventure,53.0,23622,91186,tt1829012,0,0.728259,4.9,2012,28492328.44,22657814.12,0
Slackers,5.3,86,Comedy,12.0,14958,4814244,tt0240900,0,0.645437,5.7,2002,16971659.51,7775341.536,0
Spy Hard,5.3,81,Action,25.0,39178,29000000,tt0117723,0,0.354768,5.1,1996,25023901.3,31464760.97,0
The Watcher,5.3,97,Crime,22.0,27925,28927720,tt0204626,0,0.650841,4.7,2000,41787639.77,89565316.505,1
Air Bud,5.3,98,Comedy,56.58610567514677,18651,24629916,tt0118570,0,0.436806,5.3,1997,4075380.963,31440883.54,1
The Dark,5.3,93,Drama,65.23290203327171,11105,11105,tt0411267,0,0.546134,5.2,2006,10849021.5105,15975456.2375,0
Astérix and Obélix: God Save Britannia,5.3,110,Adventure,58.352808988764046,15896,15896,tt1597522,0,0.582396,4.9,2012,57934401.16,22657814.12,0
2001 Maniacs,5.3,87,Comedy,56.58610567514677,12917,12917,tt0264323,0,0.31008,4.3,2005,3349689.869,31555208.205,0
The Messengers,5.3,90,Drama,34.0,40602,35374833,tt0425430,0,0.890977,5.6,2007,16826697.32,1166994.559,1
Flipper,5.3,95,Adventure,43.0,11369,20047715,tt0116322,0,0.340804,5.5,1996,35492233.35,27915579.92,1
Old Dogs,5.3,88,Comedy,19.0,38815,49492060,tt0976238,0,0.6642,5.2,2009,35574015.19,93731746.72,1
Contracted,5.3,84,Drama,48.0,15876,4105,tt2281159,0,0.280222,4.9,2013,19392071.575000003,31555208.205,0
The Back-up Plan,5.3,104,Comedy,34.0,51112,37490007,tt1212436,0,1.202845,5.7,2010,35000000.0,77477008.0,0
DeepStar Six,5.3,99,Action,34.0,12555,8143225,tt0097179,0,0.334867,5.2,1989,34894673.955,14323810.13,0
